Colum_ID,,0,1,2,,3,,4,,5,5a,5b,6,,7,,8,,9,,10,,11,,12,,13,,14,15,,,,,,,,,,,,,,,,,,,,,,
AR,,هام وعاجل,تواريخ,رقم,,بلدية نمار / حي الحزم,,هبوط ترنش خدمات,,وصف الموقع,ارتفاع,الطول,,,نوع الخدمة,,إسم الشارع,,درجة الأهمية,,اسم المقاول,,ملاحظات الزيارة الميدانية,,تشوه بصري,,ملاحظات المهندس المشرف / المراقب,,المراقب الميداني,رمز المستخدم,,,,,,,,,,,,,,,,,,,,,,
EN,Priority_Ar,Priority,Date,ID,Municipality / Neighborhood_Ar,Municipality / Neighborhood,Neighborhood_Ar,Neighborhood,Site location_Ar,Site location,Latitude,Longitude,Number,Service type_Ar,Service type,Street name_Ar,Street name,Priority_Ar,Priority,Contractor_Ar,Contractor,Site visit remarks_Ar,Site visit remarks,Visual distortion_Ar,Visual distortion,Supervising Engineer remarks_Ar,Supervising Engineer remarks,Site supervisor_Ar,Site supervisor,User codeContent,,,,,,,,,,,,,,,,,,,,,,Content,منطقة الرياض هام وعاجل,Riyadh area is important and urgent,26-12-1442,421206568357 ,بلدية نمار / حي الحزم,Nammar municipality / Al -Hazm neighborhood,هبوط ترنش خدمات,Semitism of services,وصف الموقع,site location,24.546254695520776,46.64791208247014,438632,البلدية,Municipal,شارع حمزه بن عبد المطلب رضي الله عنه هبوط ترنش خدمات,"Hamza Bin Abdul -Muttalib Street, may God be pleased with him",عادي,Normal,"اسم المقاول
",The name of the contractor,"ملاحظات الزيارة الميدانية
",Field visit notes,أمخالفة تشوه بصري,A violation of visual distortion,الموقع تابع لكم حسب الاختصاص,The site follows you according to the jurisdiction,بلاغات_خدمتكم,Reports of your service,9003797
Content,منطقة الرياض هام وعاجل,Riyadh area is important and urgent,26-12-1442,421206568357 ,بلدية نمار / حي الحزم,Nammar municipality / Al -Hazm neighborhood,هبوط ترنش خدمات,Semitism of services,وصف الموقع,site location,24.546254695520776,46.64791208247014,438612,البلدية,Municipal,شارع حمزه بن عبد المطلب رضي الله عنه هبوط ترنش خدمات,"Hamza Bin Abdul -Muttalib Street, may God be pleased with him",عادي,Normal,"اسم المقاول
",The name of the contractor,"ملاحظات الزيارة الميدانية
",Field visit notes,أمخالفة تشوه بصري,A violation of visual distortion,الشارع تابع لكم حسب الاختصاص,The street continues for you according to the specialty,بلاغات_خدمتكم,Reports of your service,9003797
Content,منطقة الرياض هام وعاجل,Riyadh area is important and urgent,26-12-1442,421206568327 ,بلدية نمار / حي الحزم,Nammar municipality / Al -Hazm neighborhood,هبوط ترنش خدمات,Semitism of services,وصف الموقع,site location,24.546254695520776,46.64791208247014,438613,البلدية,Municipal,شارع حمزه بن عبد المطلب رضي الله عنه هبوط ترنش خدمات,"Hamza Bin Abdul -Muttalib Street, may God be pleased with him",عادي,Normal,"اسم المقاول
",The name of the contractor,"ملاحظات الزيارة الميدانية
",Field visit notes,أمخالفة تشوه بصري,A violation of visual distortion,الشارع تابع لكم حسب الاختصاص,The street continues for you according to the specialty,بلاغات_خدمتكم,Reports of your service,9003797
Content,منطقة الرياض هام وعاجل,Riyadh area is important and urgent,26-12-1442,421206568319 ,بلدية نمار / حي الحزم,Nammar municipality / Al -Hazm neighborhood,هبوط ترنش خدمات,Semitism of services,وصف الموقع,site location,24.547247950690217,46.64792122630026,438603,البلدية,Municipal,شارع حمزه بن عبد المطلب رضي الله عنه هبوط ترنش خدمات,"Hamza Bin Abdul -Muttalib Street, may God be pleased with him",عادي,Normal,"اسم المقاول
",The name of the contractor,"ملاحظات الزيارة الميدانية
",Field visit notes,أمخالفة تشوه بصري,A violation of visual distortion,الشارع تابع لكم حسب الاختصاص,The street continues for you according to the specialty,بلاغات_خدمتكم,Reports of your service,9003797
Content,منطقة الرياض هام وعاجل,Riyadh area is important and urgent,26-12-1442,421206568321 ,بلدية نمار / حي الحزم,Nammar municipality / Al -Hazm neighborhood,هبوط ترنش خدمات,Semitism of services,وصف الموقع,site location,24.54729093420323,46.647931429729304,438605,البلدية,Municipal,شارع حمزه بن عبد المطلب رضي الله عنه هبوط ترنش خدمات,"Hamza Bin Abdul -Muttalib Street, may God be pleased with him",عادي,Normal,"اسم المقاول
",The name of the contractor,"ملاحظات الزيارة الميدانية
",Field visit notes,أمخالفة تشوه بصري,A violation of visual distortion,الشارع تابع لكم حسب الاختصاص,The street continues for you according to the specialty,بلاغات_خدمتكم,Reports of your service,9003797
Content,منطقة الرياض هام وعاجل,Riyadh area is important and urgent,26-12-1442,421206568321 ,بلدية نمار / حي الحزم,Nammar municipality / Al -Hazm neighborhood,هبوط ترنش خدمات,Semitism of services,وصف الموقع,site location,24.545961178798542,46.64766045605131,438616,البلدية,Municipal,شارع حمزه بن عبد المطلب رضي الله عنه هبوط ترنش خدمات,"Hamza Bin Abdul -Muttalib Street, may God be pleased with him",عادي,Normal,"اسم المقاول
",The name of the contractor,"ملاحظات الزيارة الميدانية
",Field visit notes,أمخالفة تشوه بصري,A violation of visual distortion,الشارع تابع لكم حسب الاختصاص,The street continues for you according to the specialty,بلاغات_خدمتكم,Reports of your service,9003797
Content,منطقة الرياض هام وعاجل,Riyadh area is important and urgent,26-12-1442,421206568321 ,بلدية نمار / حي الحزم,Nammar municipality / Al -Hazm neighborhood,هبوط ترنش خدمات,Semitism of services,وصف الموقع,site location,24.5469213902927,46.647977790618924,438615,البلدية,Municipal,شارع حمزه بن عبد المطلب رضي الله عنه هبوط ترنش خدمات,"Hamza Bin Abdul -Muttalib Street, may God be pleased with him",عادي,Normal,"اسم المقاول
",The name of the contractor,"ملاحظات الزيارة الميدانية
",Field visit notes,أمخالفة تشوه بصري,A violation of visual distortion,الشارع تابع لكم حسب الاختصاص,The street continues for you according to the specialty,بلاغات_خدمتكم,Reports of your service,9003797
Content,منطقة الرياض هام وعاجل,Riyadh area is important and urgent,26-12-1442,421206568321 ,بلدية نمار / حي الحزم,Nammar municipality / Al -Hazm neighborhood,هبوط ترنش خدمات,Semitism of services,وصف الموقع,site location,24.545820093369244,46.64774158414652,438636,البلدية,Municipal,شارع حمزه بن عبد المطلب رضي الله عنه هبوط ترنش خدمات,"Hamza Bin Abdul -Muttalib Street, may God be pleased with him",عادي,Normal,"اسم المقاول
",The name of the contractor,"ملاحظات الزيارة الميدانية
",Field visit notes,أمخالفة تشوه بصري,A violation of visual distortion,‎١‏ الموقع تابع لكم حسب الاختصاص,1 The site is followed by jurisdiction,بلاغات_خدمتكم,Reports of your service,9003797
Content,منطقة الرياض هام وعاجل,Riyadh area is important and urgent,26-12-1442,421206568398 ,بلدية نمار / حي الحزم,Nammar municipality / Al -Hazm neighborhood,هبوط ترنش خدمات,Semitism of services,وصف الموقع,site location,24.546704417843376,46.64797526273363,438617,البلدية,Municipal,شارع حمزه بن عبد المطلب رضي الله عنه هبوط ترنش خدمات,"Hamza Bin Abdul -Muttalib Street, may God be pleased with him",عادي,Normal,"اسم المقاول
",The name of the contractor,"ملاحظات الزيارة الميدانية
",Field visit notes,أمخالفة تشوه بصري,A violation of visual distortion,الموقع تابع لكم حسب الاختصاص,The site follows you according to the jurisdiction,بلاغات_خدمتكم,Reports of your service,9003797
Content,منطقة الرياض هام وعاجل,Riyadh area is important and urgent,26-12-1442,421206568398 ,بلدية نمار / حي الحزم,Nammar municipality / Al -Hazm neighborhood,هبوط ترنش خدمات,Semitism of services,وصف الموقع,site location,24.54627416244752,46.648017274637596,438631,البلدية,Municipal,شارع حمزه بن عبد المطلب رضي الله عنه هبوط ترنش خدمات,"Hamza Bin Abdul -Muttalib Street, may God be pleased with him",عادي,Normal,"اسم المقاول
",The name of the contractor,"ملاحظات الزيارة الميدانية
",Field visit notes,أمخالفة تشوه بصري,A violation of visual distortion,الموقع تابع لكم حسب الاختصاص,The site follows you according to the jurisdiction,بلاغات_خدمتكم,Reports of your service,9003797
Content,منطقة الرياض هام وعاجل,Riyadh area is important and urgent,26-12-1442,421206568324 ,بلدية نمار / حي الحزم,Nammar municipality / Al -Hazm neighborhood,هبوط ترنش خدمات,Semitism of services,وصف الموقع,site location,24.547178179919662,46.647885407718775,438607,البلدية,Municipal,شارع حمزه بن عبد المطلب رضي الله عنه هبوط ترنش خدمات,"Hamza Bin Abdul -Muttalib Street, may God be pleased with him",عادي,Normal,"اسم المقاول
",The name of the contractor,"ملاحظات الزيارة الميدانية
",Field visit notes,أمخالفة تشوه بصري,A violation of visual distortion,الشارع تابع لكم حسب الاختصاص,The street continues for you according to the specialty,بلاغات_خدمتكم,Reports of your service,9003797
